old_path,new_path,relationship,recommended_action,scientific_importance,validation_status,migration_priority
publication_figures/phase11/fig02_dense_vs_structured_depth.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase11/fig03_streaming_oracle_scaling.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase11/fig04_collision_oracle_scaling.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase11/fig05_qsvt_structured_residual.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase11/fig06_ideal_vs_noisy_fidelity.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase11/fig07_ideal_vs_hardware_fidelity.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase11/fig08_hardware_observable_error.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase11/fig09_shot_noise_scaling.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase11/fig10_state_preparation_cost.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase11/fig11_quantum_resource_scaling.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase11/fig12_classical_vs_quantum_resources.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase12/fig01_classical_lbm_reference.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase12/fig02_ideal_noisy_hardware_probs.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase12/fig03_hardware_vs_classical_density.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase12/fig04_fidelity_comparison.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase12/fig05_tvd_comparison.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase12/fig06_qsvt_degree_vs_hardware_error.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase12/fig07_cx_count_dense_vs_structured.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase12/fig08_circuit_depth_vs_hardware_error.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase12/fig09_shot_count_vs_measurement_error.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase12/fig10_hardware_calibration_vs_observed_error.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase12/fig11_multistep_error_accumulation.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase12/fig12_scientific_execution_lineage.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase13/fig01_classical_ideal_noisy_hardware_density.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase13/fig02_hardware_error_histogram.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase13/fig03_fidelity_comparison_ladder.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase13/fig04_tvd_comparison_ladder.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase13/fig05_error_vs_shot_count.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase13/fig06_error_vs_cx_count.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase13/fig07_qsvt_degree_vs_theoretical_residual.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase13/fig08_qsvt_degree_vs_hardware_residual.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase13/fig09_hardware_fidelity_vs_depth.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase13/fig10_hardware_fidelity_vs_cx_count.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase13/fig11_dense_vs_structured_cx.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase13/fig12_multistep_fidelity_decay.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase13/fig13_2x2_density_error_map.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase13/fig14_4x2_density_error_map.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase14/fig01_algorithmic_hardware_pipeline.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase14/fig02_ideal_noisy_hardware_probs.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase14/fig03_fidelity_vs_qubit_count.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase14/fig04_error_vs_cx_count.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase14/fig05_error_vs_circuit_depth.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase14/fig06_qsvt_degree_vs_hardware_error.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase14/fig07_shot_count_vs_statistical_error.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase14/fig08_raw_vs_mitigated_fidelity.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase14/fig09_classical_vs_quantum_observable.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase14/fig10_dense_vs_structured_cx.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase14/fig11_nisq_singlestep_boundary.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase14/fig12_complete_computational_lineage.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase15/fig01_classical_vs_quantum_workflow.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase15/fig02_quantum_circuit_inventory.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase15/fig03_dense_vs_structured_cx.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase15/fig04_dense_vs_structured_depth.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase15/fig05_hardware_fidelity_by_circuit.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase15/fig06_tvd_by_circuit.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase15/fig07_raw_vs_mitigated_fidelity.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase15/fig08_error_vs_cx_count.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase15/fig09_error_vs_circuit_depth.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase15/fig10_fidelity_vs_qsvt_degree.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase15/fig11_shot_scaling.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase15/fig12_hardware_ideal_noisy_classical.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase15/fig13_multistep_fidelity_degradation.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase15/fig14_experimental_boundary.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase7/fig01_classical_runtime_vs_N.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase7/fig02_classical_memory_vs_N.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase7/fig03_carleman_error_vs_time.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase7/fig04_manifold_defect_vs_time.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase7/fig05_qsvt_residual_vs_degree.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase7/fig06_condition_number_vs_dt.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase7/fig07_qubit_count_vs_N.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase7/fig08_carleman_dim_vs_N.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase7/fig09_circuit_depth_vs_degree.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase7/fig10_error_budget.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase7/fig11_noise_robustness.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
publication_figures/phase7/fig12_observable_estimation_scaling.png,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
pyproject.toml,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
quantum/approaches/approach_a_global_carleman.py,quantum/carleman_quantum.py (Approach B standardized),Comparative Solver Study (Approaches A/B/C),ARCHIVE in research-history / Port as research benchmark,High (Theoretical Ablation Analysis),Validated in Phase 7,MEDIUM
quantum/approaches/approach_b_local_carleman.py,quantum/carleman_quantum.py (Approach B standardized),Comparative Solver Study (Approaches A/B/C),ARCHIVE in research-history / Port as research benchmark,High (Theoretical Ablation Analysis),Validated in Phase 7,MEDIUM
quantum/approaches/approach_c_osslbm.py,quantum/carleman_quantum.py (Approach B standardized),Comparative Solver Study (Approaches A/B/C),ARCHIVE in research-history / Port as research benchmark,High (Theoretical Ablation Analysis),Validated in Phase 7,MEDIUM
quantum/block_encoding.py,quantum/carleman_quantum.py & unitary_dilation.py,QSVT / Block Encoding Research Modules,PORT to development/qsvt/ for research continuation,High (QSVT Research Track),Validated in Phase 8,HIGH
quantum/boundary.py,N/A,OLD Quantum Module,ARCHIVE in research-history,Historical,Historical,LOW
quantum/carleman_collision.py,quantum/carleman_collision.py,Identical,KEEP NEW,Core Production Baseline,Verified,LOW
quantum/carleman_lbm.py,N/A,OLD Quantum Module,ARCHIVE in research-history,Historical,Historical,LOW
quantum/carleman_two_phase_step.py,quantum/carleman_two_phase_step.py,Modified / Enhanced in NEW,KEEP NEW (Production Corrected),High (Production Corrected),Verified in NEW,LOW
quantum/compare_three_approaches.py,quantum/carleman_quantum.py (Approach B standardized),Comparative Solver Study (Approaches A/B/C),ARCHIVE in research-history / Port as research benchmark,High (Theoretical Ablation Analysis),Validated in Phase 7,MEDIUM
quantum/compare_three_solvers.py,N/A,OLD Quantum Module,ARCHIVE in research-history,Historical,Historical,LOW
quantum/dam_break_qlbm.py,N/A,OLD Quantum Module,ARCHIVE in research-history,Historical,Historical,LOW
quantum/dam_break_qlbm_sim.py,N/A,OLD Quantum Module,ARCHIVE in research-history,Historical,Historical,LOW
quantum/encoding.py,N/A,OLD Quantum Module,ARCHIVE in research-history,Historical,Historical,LOW
quantum/local_carleman/collision.py,quantum/carleman_quantum.py & timestep_quantum.py,Early local Carleman implementation,ARCHIVE in research-history,Subsumed in Production Modules,Superseded,LOW
quantum/local_carleman/dynamic_circuit.py,quantum/carleman_quantum.py & timestep_quantum.py,Early local Carleman implementation,ARCHIVE in research-history,Subsumed in Production Modules,Superseded,LOW
quantum/local_carleman/encoding.py,quantum/carleman_quantum.py & timestep_quantum.py,Early local Carleman implementation,ARCHIVE in research-history,Subsumed in Production Modules,Superseded,LOW
quantum/local_carleman/measurement.py,quantum/carleman_quantum.py & timestep_quantum.py,Early local Carleman implementation,ARCHIVE in research-history,Subsumed in Production Modules,Superseded,LOW
quantum/local_carleman/streaming.py,quantum/carleman_quantum.py & timestep_quantum.py,Early local Carleman implementation,ARCHIVE in research-history,Subsumed in Production Modules,Superseded,LOW
quantum/qsvt_solver.py,quantum/carleman_quantum.py & unitary_dilation.py,QSVT / Block Encoding Research Modules,PORT to development/qsvt/ for research continuation,High (QSVT Research Track),Validated in Phase 8,HIGH
quantum/resource_analysis.py,run.py & timestep_quantum.py,Historical Quantum Execution Scripts,ARCHIVE in research-history,Historical Execution,Superseded by run.py,LOW
quantum/run_dam_break_qlbm.py,run.py & timestep_quantum.py,Historical Quantum Execution Scripts,ARCHIVE in research-history,Historical Execution,Superseded by run.py,LOW
quantum/run_end_to_end_validation.py,run.py & timestep_quantum.py,Historical Quantum Execution Scripts,ARCHIVE in research-history,Historical Execution,Superseded by run.py,LOW
quantum/run_quantum_pipeline.py,run.py & timestep_quantum.py,Historical Quantum Execution Scripts,ARCHIVE in research-history,Historical Execution,Superseded by run.py,LOW
quantum/small_qlbm.py,N/A,OLD Quantum Module,ARCHIVE in research-history,Historical,Historical,LOW
quantum/streaming.py,quantum/streaming.py,Modified / Enhanced in NEW,KEEP NEW (Production Corrected),High (Production Corrected),Verified in NEW,LOW
quantum/two_phase_boundary.py,quantum/two_phase_boundary.py,Modified / Enhanced in NEW,KEEP NEW (Production Corrected),High (Production Corrected),Verified in NEW,LOW
quantum/two_phase_carleman.py,quantum/two_phase_carleman.py,Modified / Enhanced in NEW,KEEP NEW (Production Corrected),High (Production Corrected),Verified in NEW,LOW
quantum/two_phase_collision.py,N/A,OLD Quantum Module,ARCHIVE in research-history,Historical,Historical,LOW
quantum/two_phase_encoding.py,quantum/two_phase_encoding.py,Modified / Enhanced in NEW,KEEP NEW (Production Corrected),High (Production Corrected),Verified in NEW,LOW
quantum/two_phase_step.py,N/A,OLD Quantum Module,ARCHIVE in research-history,Historical,Historical,LOW
quantum/unitary_dilation.py,quantum/unitary_dilation.py,Modified / Enhanced in NEW,KEEP NEW (Production Corrected),High (Production Corrected),Verified in NEW,LOW
quantum/verify_block_encoding.py,quantum/carleman_quantum.py & unitary_dilation.py,QSVT / Block Encoding Research Modules,PORT to development/qsvt/ for research continuation,High (QSVT Research Track),Validated in Phase 8,HIGH
quantum_block_encoding_status.json,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
quantum_hardware/01_block_encoding_demo.py,hardware/isa_transpile.py & hardware/preflight.py,"IBM Hardware & QAE Demos (Demos 01-05, run_hardware)",PORT to development/hardware_demos/ as standalone tutorials,High (Hardware Demonstration Scripts),Verified on Fake Backends,HIGH
quantum_hardware/02_qsvt_demo.py,hardware/isa_transpile.py & hardware/preflight.py,"IBM Hardware & QAE Demos (Demos 01-05, run_hardware)",PORT to development/hardware_demos/ as standalone tutorials,High (Hardware Demonstration Scripts),Verified on Fake Backends,HIGH
quantum_hardware/03_measurement_demo.py,hardware/isa_transpile.py & hardware/preflight.py,"IBM Hardware & QAE Demos (Demos 01-05, run_hardware)",PORT to development/hardware_demos/ as standalone tutorials,High (Hardware Demonstration Scripts),Verified on Fake Backends,HIGH
quantum_hardware/04_small_qlbm_state.py,hardware/isa_transpile.py & hardware/preflight.py,"IBM Hardware & QAE Demos (Demos 01-05, run_hardware)",PORT to development/hardware_demos/ as standalone tutorials,High (Hardware Demonstration Scripts),Verified on Fake Backends,HIGH
quantum_hardware/05_qae_scalar_demo.py,hardware/isa_transpile.py & hardware/preflight.py,"IBM Hardware & QAE Demos (Demos 01-05, run_hardware)",PORT to development/hardware_demos/ as standalone tutorials,High (Hardware Demonstration Scripts),Verified on Fake Backends,HIGH
quantum_hardware/run_hardware.py,hardware/isa_transpile.py & hardware/preflight.py,"IBM Hardware & QAE Demos (Demos 01-05, run_hardware)",PORT to development/hardware_demos/ as standalone tutorials,High (Hardware Demonstration Scripts),Verified on Fake Backends,HIGH
quantum_hardware/run_real_qpu.py,hardware/isa_transpile.py & hardware/preflight.py,"IBM Hardware & QAE Demos (Demos 01-05, run_hardware)",PORT to development/hardware_demos/ as standalone tutorials,High (Hardware Demonstration Scripts),Verified on Fake Backends,HIGH
quantum_hardware/transpile_hardware.py,hardware/isa_transpile.py & hardware/preflight.py,"IBM Hardware & QAE Demos (Demos 01-05, run_hardware)",PORT to development/hardware_demos/ as standalone tutorials,High (Hardware Demonstration Scripts),Verified on Fake Backends,HIGH
quantum_hardware/validate_results.py,hardware/isa_transpile.py & hardware/preflight.py,"IBM Hardware & QAE Demos (Demos 01-05, run_hardware)",PORT to development/hardware_demos/ as standalone tutorials,High (Hardware Demonstration Scripts),Verified on Fake Backends,HIGH
reproducibility/run_all.sh,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
reproducibility/run_carleman_validation.sh,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
reproducibility/run_hardware_preflight.sh,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
reproducibility/run_validation.sh,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
requirements-lock.txt,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
requirements.txt,requirements.txt,Modified / Enhanced in NEW,KEEP NEW (Production Corrected),High (Production Corrected),Verified in NEW,LOW
research/ARCHITECTURE_COMPARISON.md,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
research/CARLEMAN_COLLISION_DERIVATION.md,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
research/CARLEMAN_LCU_MAPPING.md,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
research/CLASSICAL_BENCHMARK_MAPPING.md,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
research/COLLISION_REPRESENTABILITY_PROOF.md,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
research/ERROR_BUDGET.md,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
research/ERROR_ROOT_CAUSE.md,N/A (Historical Documentation),"Research Reports, Figures, and Verification Audits",ARCHIVE in research-history / Reference in docs/,High (Thesis Evidence & Forensic Audits),Historical Phase Evidence,MEDIUM
